CID X LOC_NUM X VENDOR,target
ICE2DJP X 0.0 X 243,1
ICE2DJP X 0.0 X 195,1
ICE2DJP X 0.0 X 4,1
ICE2DJP X 0.0 X 294,1
ICE2DJP X 0.0 X 105,1
ICE2DJP X 0.0 X 86,1
ICE2DJP X 0.0 X 84,1
ICE2DJP X 0.0 X 193,1
ICE2DJP X 0.0 X 304,1
ICE2DJP X 0.0 X 20,1
ICE2DJP X 0.0 X 386,1
ICE2DJP X 0.0 X 113,1
ICE2DJP X 0.0 X 79,1
ICE2DJP X 0.0 X 391,1
ICE2DJP X 0.0 X 189,1
ICE2DJP X 0.0 X 13,1
ICE2DJP X 0.0 X 83,1
ICE2DJP X 0.0 X 90,1
ICE2DJP X 0.0 X 583,1
ICE2DJP X 0.0 X 849,1
ICE2DJP X 0.0 X 237,1
ICE2DJP X 0.0 X 289,1
ICE2DJP X 0.0 X 85,1
ICE2DJP X 0.0 X 356,1
ICE2DJP X 0.0 X 459,1
ICE2DJP X 0.0 X 537,1
ICE2DJP X 1.0 X 195,1
ICE2DJP X 1.0 X 75,1
ICE2DJP X 1.0 X 159,1
ICE2DJP X 1.0 X 105,1
ICE2DJP X 1.0 X 78,1
ICE2DJP X 1.0 X 86,1
ICE2DJP X 1.0 X 84,1
ICE2DJP X 1.0 X 92,1
ICE2DJP X 1.0 X 20,1
ICE2DJP X 1.0 X 386,1
ICE2DJP X 1.0 X 113,1
ICE2DJP X 1.0 X 79,1
ICE2DJP X 1.0 X 106,1
ICE2DJP X 1.0 X 33,1
ICE2DJP X 1.0 X 157,1
ICE2DJP X 1.0 X 104,1
ICE2DJP X 1.0 X 83,1
ICE2DJP X 1.0 X 90,1
ICE2DJP X 1.0 X 85,1
ICE2DJP X 1.0 X 134,1
ICE2DJP X 1.0 X 192,1
ICE2DJP X 2.0 X 159,1
ICE2DJP X 2.0 X 78,1
ICE2DJP X 2.0 X 79,1
ICE2DJP X 3.0 X 4,1
ICE2DJP X 3.0 X 159,1
ICE2DJP X 3.0 X 300,1
ICE2DJP X 3.0 X 298,1
ICE2DJP X 3.0 X 78,1
ICE2DJP X 3.0 X 92,1
ICE2DJP X 3.0 X 82,1
ICE2DJP X 3.0 X 113,1
ICE2DJP X 3.0 X 79,1
ICE2DJP X 3.0 X 295,1
ICE2DJP X 3.0 X 33,1
ICE2DJP X 3.0 X 104,1
ICE2DJP X 3.0 X 303,1
ICE2DJP X 3.0 X 856,1
ICE2DJP X 3.0 X 81,1
ICE2DJP X 4.0 X 110,1
ICE2DJP X 4.0 X 105,1
ICE2DJP X 4.0 X 401,1
ICE2DJP X 4.0 X 78,1
ICE2DJP X 4.0 X 84,1
ICE2DJP X 4.0 X 92,1
ICE2DJP X 4.0 X 578,1
ICE2DJP X 4.0 X 113,1
ICE2DJP X 4.0 X 79,1
ICE2DJP X 4.0 X 160,1
ICE2DJP X 4.0 X 199,1
ICE2DJP X 4.0 X 106,1
ICE2DJP X 4.0 X 216,1
ICE2DJP X 4.0 X 855,1
ICE2DJP X 4.0 X 104,1
ICE2DJP X 4.0 X 679,1
ICE2DJP X 4.0 X 83,1
ICE2DJP X 4.0 X 203,1
ICE2DJP X 4.0 X 201,1
ICE2DJP X 4.0 X 192,1
ICE2DJP X 4.0 X 303,1
ICE2DJP X 4.0 X 161,1
ICE2DJP X 4.0 X 573,1
ICE2DJP X 5.0 X 110,1
ICE2DJP X 5.0 X 105,1
ICE2DJP X 5.0 X 78,1
ICE2DJP X 5.0 X 84,1
ICE2DJP X 5.0 X 92,1
ICE2DJP X 5.0 X 578,1
ICE2DJP X 5.0 X 113,1
